path,class
/blue/bme6938/share/Datasets/SkinLesions/acne/ac41_JPG.rf.b877fe0503c02f7bf2db1ff98bb76e7c.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac9_JPG.rf.a12861587ae43a565ba8f47afce42a8c.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac20_jpg.rf.a157b64a9971824325fca3e31a9c2948.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac36_JPG.rf.f067c6dbde7d501d1c47a1667d1518aa.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac19_jpg.rf.9df540b2563caee88e6691c6d3febc45.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/n13_JPG.rf.5928f52cd3a85bce8ea661e54ee58e53.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac86_JPG.rf.24fe000f8ee426f07802d258837c73dc.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac46_JPG.rf.58c378db01581c39e95e95e9b91a3c9f.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac15_jpg.rf.c70c0e4e646ad4f44cf4be51a64e5631.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac96_JPG.rf.8762a782bff409e473ea97eb783f4375.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac17_jpg.rf.14dc7f631ca3d64ffbc11e8f7f44801d.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/n8_JPG.rf.4f26e084d2a399bcfc4574d7ce7086b3.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac40_JPG.rf.68ca35ab5c2494a06a6dbe3646399cb9.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac94_JPG.rf.a37374cf96a456b9503cb87c2dd9750b.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac8_JPG.rf.82df48e059d49f35aaca1d12db9f0425.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/n9_JPG.rf.e5201030cffa6e6de29058372bfd4118.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/n7_JPG.rf.1371e2be85307a7c7519dd4e63bf721c.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac20_jpg.rf.a3e6e740d7ec20668d6fafc26cb778b9.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac57_JPG.rf.ab37743e6cbb94102292870528c984b5.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac6_JPG.rf.f80c6de1c194ba43a11966cb67446838.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/n11_JPG.rf.aef17b440e44aca61f943852138295b7.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac100_JPG.rf.c18ecbfa3c9542f1a2a84a9a1b700ef2.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac95_JPG.rf.8e709033e5d3cd61311ce3e1e50d1bde.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/n13_JPG.rf.7a1a54dca2818e89279da2dccbb2d494.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac53_JPG.rf.0471ee838f7fefbd83e6f8d7f98f3f76.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac4_jpg.rf.68c378c28de317dcff437a2282a3dc9a.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/n12_JPG.rf.635c3567079bb445b56f1d3a7e6be56a.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac8_JPG.rf.c8fe309bcf8aab581d2f5298ab768c8a.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac35_JPG.rf.cbf961e0ebaa00a1d71cf79169771214.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac10_JPG.rf.cf6b30a51bdcf2b5acf670b6679358ac.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/n4_JPG.rf.99f657d2351082b5e5cad5e67e754efb.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac47_JPG.rf.8e2eedc75721b0df49b52b4613601e21.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac85_JPG.rf.3133105c40fd39127011d72d77f961b1.jpg,acne
/blue/bme6938/share/Datasets/SkinLesions/acne/ac1_jpg.rf.28bdd9c5807a695d99719b181c710f6e.jpg,acne
